consent1,consent2,consent3,gender,gender_divers,age
1,1,1,female,,47
1,1,1,male,,28
1,1,1,female,,61
1,1,1,female,,63
1,1,1,female,,24
1,1,1,female,,40
1,1,1,male,,27
1,1,1,female,,39
1,1,1,female,,20
1,1,1,female,,20
1,1,1,female,,21
1,1,1,female,,20
1,1,1,female,,21
1,1,1,female,,19
1,1,1,female,,19
1,1,1,female,,20
1,1,1,female,,31
1,1,1,male,,74
1,1,1,female,,24
1,1,1,female,,43
1,1,1,female,,19
1,1,1,female,,21
1,1,1,female,,19
1,1,1,male,,20
1,1,1,female,,20
1,1,1,male,,19
1,1,1,female,,20
1,1,1,female,,57
1,1,1,female,,19
1,1,1,female,,19
1,1,1,non-binary,,28
1,1,1,female,,36
1,1,1,female,,76
1,1,1,male,,47
1,1,1,male,,30
1,1,1,male,,22
1,1,1,female,,26
1,1,1,female,,28
1,1,1,female,,50
1,1,1,female,,32
1,1,1,female,,31
1,1,1,female,,25
1,1,1,female,,19
1,1,1,female,,19
1,1,1,male,,19
1,1,1,male,,57
1,1,1,male,,19
1,1,1,female,,24
1,1,1,male,,47
1,1,1,female,,62
1,1,1,female,,54
1,1,1,female,,77
1,1,1,female,,50
1,1,1,male,,25
1,1,1,female,,19
1,1,1,male,,20
1,1,1,female,,20
1,1,1,male,,19
1,1,1,female,,19
1,1,1,male,,20
1,1,1,female,,18
1,1,1,female,,27
1,1,1,male,,72
1,1,1,female,,66
1,1,1,female,,22
1,1,1,male,,57
1,1,1,female,,19
1,1,1,female,,19
1,1,1,female,,75
1,1,1,female,,23
1,1,1,male,,19
1,1,1,male,,20
1,1,1,female,,21
1,1,1,female,,52
1,1,1,female,,56
1,1,1,female,,22
1,1,1,male,,20
1,1,1,male,,20
1,1,1,male,,28
1,1,1,female,,22
1,1,1,female,,21
1,1,1,male,,28
1,1,1,male,,26
1,1,1,female,,22
1,1,1,female,,19
1,1,1,male,,22
1,1,1,female,,20
1,1,1,female,,22
1,1,1,male,,48
1,1,1,female,,47
1,1,1,female,,50
1,1,1,non-binary,,25
1,1,1,female,,19
1,1,1,female,,32
1,1,1,female,,43
1,1,1,female,,19
1,1,1,female,,57
1,1,1,male,,55
1,1,1,female,,62
1,1,1,male,,28
1,1,1,female,,73
1,1,1,female,,42
1,1,1,female,,21
1,1,1,non-binary,,19
1,1,1,female,,19
1,1,1,female,,19
1,1,1,female,,22
1,1,1,female,,19
1,1,1,female,,25
1,1,1,male,,24
1,1,1,male,,48
1,1,1,male,,18
1,1,1,male,,55
1,1,1,female,,29
1,1,1,female,,62
1,1,1,female,,65
1,1,1,female,,21
1,1,1,male,,57
1,1,1,female,,22
1,1,1,male,,43
1,1,1,male,,46
1,1,1,male,,21
1,1,1,male,,26
1,1,1,female,,50
1,1,1,female,,20
1,1,1,male,,20
1,1,1,female,,42
1,1,1,female,,54
1,1,1,female,,18
1,1,1,female,,24
1,1,1,female,,28
1,1,1,female,,48
1,1,1,female,,20
1,1,1,male,,27
1,1,1,female,,21
1,1,1,female,,25
1,1,1,female,,28
1,1,1,female,,22
1,1,1,female,,22
1,1,1,male,,28
1,1,1,prefer not to say,,22
1,1,1,female,,51
1,1,1,male,,18
1,1,1,female,,20
1,1,1,female,,24
1,1,1,female,,20
1,1,1,female,,40
1,1,1,male,,24
1,1,1,female,,19
1,1,1,female,,20
1,1,1,female,,18
1,1,1,female,,48
1,1,1,female,,52
1,1,1,female,,20
1,1,1,male,,24
1,1,1,female,,20
1,1,1,female,,19
1,1,1,male,,26
1,1,1,female,,42
1,1,1,female,,19
1,1,1,male,,18
1,1,1,female,,66
